Table 6.3B. Wages and Salaries by Industry
Table 6.3B. Wages and Salaries by Industry
"Last Revised on: September 27, 2024"
Line,,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
84,"                Education",3599,3983,4292,4740,5244,5739,6361,6909,7734,8692,9719,10617,11857,13022,14287,15707,17390,19221,21603,24248,27569,30857,35048,38841,42522,46496,50253,56135,61177,65756,70102,76073,82848,89212,95531,100704,108542,118207,128402,137431
85,"                Other",4558,5036,5342,5780,6273,6793,7374,7879,8644,9413,10245,10719,11506,12582,13425,14270,15292,16657,18238,20226,22626,24990,28364,31773,35263,39397,43275,48230,51981,56620,62943,68634,76606,82895,89442,95660,102050,109561,117582,127128
86,"            Government enterprises",633,698,749,845,1038,1108,1150,1226,1262,1314,1426,1618,1774,1797,2005,2118,2342,2532,2708,2897,3348,3713,4173,4652,5059,5740,6502,7458,7944,8433,9427,10415,11887,13045,14158,15309,16399,17944,19227,20186
87,Rest of the world,86,58,78,14,2,-7,-57,-70,-82,-78,-72,-81,-155,-144,-95,-63,-54,5,24,30,12,22,23,21,-1,-13,-22,-43,-37,-62,-99,-71,-98,-156,-192,-173,-211,-215,-1782,-1356
88,"    Receipts from the rest of the world",---,---,---,---,---,---,---,---,---,---,---,153,159,167,173,178,187,196,205,213,223,237,251,268,282,295,330,357,385,402,404,430,465,511,540,574,619,646,908,994
89,"    Less:  Payments to the rest of the world",---,---,---,---,---,---,---,---,---,---,---,234,314,311,268,241,241,191,181,183,211,215,228,247,283,308,352,400,422,464,503,501,563,667,732,747,830,861,2690,2350

Legend/Footnotes
"1. Beginning with 1987, reflects the reclassification of air couriers from trucking and warehousing to transportation by air."
2. Includes Coast Guard.
Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).
