date,LM893111305.Q,LM313111303.Q,LM313011303.Q,FL893011105.Q,FL313011105.Q,LM313011203.Q,LM313011303.Q,LM313111303.Q,FL903011105.Q
1945:Q4,0,0,0,20083,20083,20083,0,0,-20083
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,0,0,0,20706,20706,20706,0,0,-20706
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,0,0,0,22868,22868,22868,0,0,-22868
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,0,0,0,24399,24399,24399,0,0,-24399
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,0,0,0,24563,24563,24563,0,0,-24563
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,0,0,0,22820,22820,22820,0,0,-22820
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND
2001:Q4,16931,6157,10774,89259,83102,72328,10774,6157,-72328
2002:Q1,16918,6109,10809,98175,92066,81257,10809,6109,-81257
2002:Q2,18164,6519,11645,102397,95878,84233,11645,6519,-84233
2002:Q3,18191,6481,11710,105264,98783,87073,11710,6481,-87073
2002:Q4,18827,6661,12166,109633,102972,90806,12166,6661,-90806
2003:Q1,18123,6731,11392,108294,101563,90171,11392,6731,-90171
2003:Q2,18584,6864,11720,111513,104649,92929,11720,6864,-92929
2003:Q3,19067,7005,12062,122754,115749,103687,12062,7005,-103687
2003:Q4,19919,7281,12638,128785,121504,108866,12638,7281,-108866
2004:Q1,19945,7254,12691,134783,127529,114838,12691,7254,-114838
2004:Q2,19843,7184,12659,125206,118022,105363,12659,7184,-105363
2004:Q3,19979,7197,12782,132468,125271,112489,12782,7197,-112489
2004:Q4,21191,7609,13582,135138,127529,113947,13582,7609,-113947
2005:Q1,18966,7402,11564,133683,126281,114717,11564,7402,-114717
2005:Q2,18380,7137,11243,135063,127926,116683,11243,7137,-116683
2005:Q3,15347,7102,8245,141068,133966,125721,8245,7102,-125721
2005:Q4,15213,7003,8210,149388,142385,134175,8210,7003,-134175
2006:Q1,15403,7059,8344,167624,160565,152221,8344,7059,-152221
2006:Q2,15866,7248,8618,176296,169048,160430,8618,7248,-160430
2006:Q3,15889,7234,8655,172592,165358,156703,8655,7234,-156703
2006:Q4,16241,7371,8870,181508,174137,165267,8870,7371,-165267
2007:Q1,16347,7399,8948,189394,181995,173047,8948,7399,-173047
2007:Q2,16444,7426,9018,186549,179123,170105,9018,7426,-170105
2007:Q3,16928,7627,9301,211222,203595,194294,9301,7627,-194294
2007:Q4,17218,7742,9476,235243,227501,218025,9476,7742,-218025
