1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q2,11598,11598,500,500,0,0,8045,8045,24394,0,24394,0,63347,0,22227,22081,19039,0,0,0,0,0,3984,3984,0,0,61285,426194,226420,61285,426194,226420
1976:Q3,11598,11598,800,800,0,0,8196,8196,24972,0,24972,0,66100,0,23192,22998,19910,0,0,0,0,0,4032,4032,0,0,65344,435231,224935,65344,435231,224935
1976:Q4,11598,11598,1200,1200,0,0,8375,8375,25543,0,25543,0,68792,0,24132,23912,20748,0,0,0,0,0,4130,4130,0,0,67289,443026,224109,67289,443026,224109
1977:Q1,11636,11636,1200,1200,0,0,8582,8582,26271,0,26271,0,71737,0,25136,24948,21653,0,0,0,0,0,4140,4140,0,0,73906,452412,232489,73906,452412,232489
1977:Q2,11620,11620,1200,1200,0,0,8818,8818,27088,0,27088,0,74852,0,26207,26041,22604,0,0,0,0,0,4284,4284,0,0,72454,460425,235974,72454,460425,235974
1977:Q3,11595,11595,1200,1200,0,0,9060,9060,27925,0,27925,0,78085,0,27288,27201,23596,0,0,0,0,0,4348,4348,0,0,76139,462406,241821,76139,462406,241821
1977:Q4,11718,11718,1250,1250,0,0,9284,9284,28714,0,28714,0,81385,0,28323,28435,24627,0,0,0,0,0,4459,4459,0,0,75971,470644,245798,75971,470644,245798
1978:Q1,11718,11718,1250,1250,0,0,9534,9534,29515,0,29515,0,84775,0,29306,29775,25694,0,0,0,0,0,4551,4551,0,0,78536,481966,252584,78536,481966,252584
1978:Q2,11706,11706,1250,1250,0,0,9790,9790,30318,0,30318,0,88282,0,30235,31223,26824,0,0,0,0,0,4845,4845,0,0,69225,491865,254460,69225,491865,254460
1978:Q3,11668,11668,1300,1300,0,0,10059,10059,31110,0,31110,0,91856,0,31183,32705,27968,0,0,0,0,0,5214,5214,0,0,57634,495396,257011,57634,495396,257011
1978:Q4,11671,11671,1300,1300,0,0,10349,10349,31871,0,31871,0,95447,0,32224,34148,29075,0,0,0,0,0,5270,5270,0,0,61726,505123,263499,61726,505123,263499
1979:Q1,11479,11479,1300,1300,0,0,10665,10665,32641,0,32641,0,99066,0,33335,35585,30146,0,0,0,0,0,5571,5571,0,0,56451,517076,270083,56451,517076,270083
1979:Q2,11323,11323,1800,1800,0,0,11010,11010,33402,0,33402,0,102724,0,34494,37043,31187,0,0,0,0,0,5772,5772,0,0,52584,527194,276381,52584,527194,276381
1979:Q3,11228,11228,1800,1800,0,0,11360,11360,34132,0,34132,0,106427,0,35717,38469,32241,0,0,0,0,0,6095,6095,0,0,42358,529872,283897,42358,529872,283897
1979:Q4,11172,11172,1800,1800,0,0,11692,11692,34808,0,34808,0,110182,0,37022,39810,33350,0,0,0,0,0,6196,6196,0,0,43238,539975,293532,43238,539975,293532
1980:Q1,11172,11172,2968,2968,0,0,12003,12003,35352,0,35352,0,114012,0,38599,41113,34300,0,0,0,0,0,6240,6240,0,0,56615,552555,295501,56615,552555,295501
